Months,REB,AST,BLK,STL,PTS,Anthony Edward
2022-10,6.1,4.4,0.3,0.9,23,926.17
2022-11,5.5,3.5,0.5,1.7,22.8,716.66
2022-12,6.8,5.2,0.7,2.3,25.3,640.5
2023-01,5.9,4.9,0.8,1.4,27.3,569.95
2023-02,4.9,4.4,1.1,1.5,23.5,611.64
2023-03,4.8,4.1,0.7,0.9,22.7,590
2023-04,7,4,1.5,2,29.8,591.83
2023-10,6.1,4.4,0.3,0.9,23,625
2023-11,5.5,3.5,0.5,1.7,22.8,595
2023-12,6.8,5.2,0.7,2.3,25.3,580
2024-01,5.9,4.9,0.8,1.4,27.3,530.52
2024-02,4.9,4.4,1.1,1.5,23.5,576.48
2024-03,4.8,4.1,0.7,0.9,22.7,612.45
2024-04,7,4,1.5,2,29.8,628.63
