Date,LaMelo,Anthony Edward,Tyrese Maxey,Tyrese Haliburton,Zion Willaimson
2022-10,1236.75,926.17,420,366.6,1676
2022-11,892.57,716.66,415,345.77,1030
2022-12,1001.67,640.5,283.41,388.1,1007.5
2023-01,800.5,569.95,231.27,388.08,959.25
2023-02,740.03,611.64,258.09,349.73,810
2023-03,510,590,249.78,350.6,687.72
2023-04,535.58,591.83,220.5,309.99,590.55
2023-10,495.56,625,224,356,637.5
2023-11,485,595,357.5,350,487.5
2023-12,378.14,580,330,425.97,460
2024-01,351.95,530.52,322.34,449.74,355
2024-02,320.13,576.48,284.45,422.2,350
2024-03,307,612.45,251.94,350,380
2024-04,285.89,628.63,227.51,302.98,382.5
