Months,REB,AST,BLK,STL,PTS,Tyrese Haliburton
2022-10,5.3,12.3,0.7,1,20,366.6
2022-11,3.2,11.7,0.7,1.1,28.6,345.77
2022-12,4.5,14,0.5,0.9,21.4,388.1
2023-01,4.6,11.6,0.7,1.4,17.9,388.08
2023-02,2.7,8.9,0.8,1.3,16.1,349.73
2023-03,4.6,9.1,0.7,1.3,16.7,350.6
2023-04,3.7,10,1,1.4,18.9,309.99
2023-10,5.3,12.3,0.7,1,20,356
2023-11,3.2,11.7,0.7,1.1,28.6,350
2023-12,4.5,14,0.5,0.9,21.4,425.97
2024-01,4.6,11.6,0.7,1.4,17.9,449.74
2024-02,2.7,8.9,0.8,1.3,16.1,422.2
2024-03,4.6,9.1,0.7,1.3,16.7,350
2024-04,3.7,10,1,1.4,18.9,302.98
