2022-23,LaMelo,Anthony Edward,Tyrese Maxey,Tyrese Haliburton,Zion Willaimson
October,1236.75,926.17,420,366.6,1676
Novermber,892.57,716.66,415,345.77,1030
December,1001.67,640.5,283.41,388.1,1007.5
Janurary,800.5,569.95,231.27,388.08,959.25
Feburary,740.03,611.64,258.09,349.73,810
March,510,590,249.78,350.6,687.72
April,535.58,591.83,220.5,309.99,590.55
2023-2024,NA,NA,NA,NA,NA
October,495.56,625,224,356,637.5
Novermber,485,595,357.5,350,487.5
December,378.14,580,330,425.97,460
Janurary,351.95,530.52,322.34,449.74,355
Feburary,320.13,576.48,284.45,422.2,350
March,307,612.45,251.94,350,380
April,285.89,628.63,227.51,302.98,382.5
